"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.359532917E0,-1.789534503E-1,1.906410111E0,-8.361740577E-1
1.369511917E0,4.799716204E-1,2.053568742E0,-5.219704163E-1
1.379489917E0,8.146742843E-1,2.250410287E0,-1.024297696E-1
1.389467917E0,5.723965117E-1,2.314156632E0,2.962445033E-1
1.399446917E0,8.296409637E-2,2.303403018E0,-4.979254961E-2
1.409424917E0,-2.361459437E-1,2.138681105E0,-1.533508319E-1
1.419403917E0,-4.511216046E-1,2.147986364E0,1.837885129E-1
1.429381917E0,-3.377171959E-1,2.145224140E0,3.499248666E-1
1.439359917E0,4.844783619E-2,2.001227099E0,4.547870779E-1
1.449338917E0,8.084024146E-2,2.023453535E0,6.368699580E-1
1.459316917E0,-2.584828922E-1,2.154059283E0,7.938963497E-1
1.469294917E0,-4.077139221E-1,2.119136787E0,9.297985053E-1
1.479273917E0,-8.180532441E-1,1.990804729E0,8.921459448E-1
1.489251917E0,-1.309413486E0,2.001657454E0,5.797847611E-1
1.499230917E0,-1.427237805E0,2.040807486E0,7.253763378E-1
1.509208917E0,-1.672942777E0,1.866584726E0,1.090958294E0
1.519186917E0,-1.913512432E0,1.486496705E0,1.347136506E0
1.529165917E0,-2.045187782E0,1.353208547E0,1.760989566E0
1.539143917E0,-1.818894250E0,1.451788217E0,1.473497760E0
1.549121917E0,-1.454448847E0,1.682123198E0,9.200447649E-1
1.559100917E0,-1.628798784E0,1.838813375E0,5.048415828E-1
1.569078917E0,-1.827104033E0,1.658759186E0,5.377824569E-1
1.579057917E0,-1.799127738E0,1.320284337E0,9.834835464E-1
1.589035917E0,-1.800849743E0,9.974198002E-1,1.225253634E0
1.599013917E0,-1.954967437E0,7.243726632E-1,1.230762296E0
1.608992917E0,-2.226519295E0,7.085951212E-1,1.186618157E0
1.618970917E0,-2.527199349E0,9.194654520E-1,9.226426828E-1
1.628948917E0,-2.489562869E0,1.015411390E0,5.138264143E-1
1.638927917E0,-2.326203943E0,9.590190884E-1,3.131078732E-1
1.648905917E0,-2.393986621E0,7.446049064E-1,6.664668095E-1
1.658884917E0,-2.258453424E0,2.208775480E-1,1.318943571E0
1.668862917E0,-1.128321417E0,1.953072354E-1,1.810178683E0
1.678840917E0,-8.497688341E-1,5.558333963E-2,1.834177995E0
1.688819917E0,-1.262232888E0,-4.389466783E-1,1.917314876E0
1.698797917E0,-9.936147246E-1,-5.864559956E-1,2.397867710E0
1.708775917E0,-6.105987105E-1,-4.380880147E-1,2.255848782E0
1.718754917E0,-5.019194368E-1,-1.676231544E-1,1.454121841E0
1.728732917E0,-3.426690567E-1,2.739810835E-1,9.903879386E-1
1.738711917E0,-2.941330737E-1,7.295467912E-1,8.362547493E-1
1.748689917E0,-1.942699394E-1,1.081936917E0,7.442312694E-1
1.758667917E0,2.784403163E-1,1.095241891E0,1.436991253E0
