"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.480312000E0,3.351404741E-2,-2.000997595E-2,3.296075463E-2
1.490293000E0,3.958338417E-2,-3.733644538E-2,2.881273985E-2
1.500274000E0,2.256645173E-2,-3.158463070E-2,2.974770963E-2
1.510255000E0,2.734538108E-2,-2.212763647E-2,3.742334962E-2
1.520236000E0,2.910217702E-2,-1.174683698E-2,5.078365266E-2
1.530217000E0,2.194079965E-2,1.366421208E-4,6.178401947E-2
1.540198000E0,9.385804385E-3,9.949951060E-3,6.075023174E-2
1.550179000E0,9.423592016E-3,1.706729159E-2,3.073238075E-2
1.560160000E0,1.014323808E-2,2.452744341E-2,3.171822131E-2
1.570141000E0,2.312288739E-2,3.960447069E-3,3.673981011E-2
1.580122000E0,2.092279941E-2,-9.768778738E-3,1.791996181E-2
1.590102000E0,3.137703627E-2,-2.396181665E-2,2.917702138E-2
1.600083000E0,3.172757685E-2,-4.701004241E-2,3.085166395E-2
1.610064000E0,1.302211471E-2,-5.369108928E-2,3.629366755E-2
1.620045000E0,4.054751694E-3,-4.323303346E-2,3.633927584E-2
1.630026000E0,-2.213755846E-3,-2.443003245E-2,3.442255855E-2
1.640007000E0,-1.468674392E-2,4.504877664E-3,3.999729395E-2
1.649988000E0,-2.033369243E-2,1.428315813E-2,6.193663180E-2
1.659969000E0,-3.236265756E-2,2.240667656E-2,7.227333963E-2
1.669950000E0,-4.691323444E-2,3.331056431E-2,7.252418518E-2
1.679931000E0,-3.622013882E-2,3.901311619E-2,4.480078161E-2
1.689912000E0,-2.748198666E-2,4.220498331E-2,3.065285861E-2
1.699892000E0,-1.138606377E-2,3.457244826E-2,4.418740869E-3
1.709873000E0,-1.505000219E-3,7.738442738E-3,1.572901011E-3
1.719854000E0,1.123571724E-2,-4.357217196E-3,8.950917721E-3
1.729835000E0,4.369112626E-3,-1.368330689E-2,3.542886436E-2
1.739816000E0,6.962572038E-4,-2.511901718E-2,8.266618073E-2
1.749797000E0,-9.679334611E-4,-3.040868254E-2,1.135628682E-1
1.759778000E0,-2.297107905E-2,-2.187662646E-2,1.524778426E-1
1.769759000E0,-3.687977783E-2,-2.656243891E-3,1.515843880E-1
1.779740000E0,-3.501115389E-2,2.378791681E-2,8.983369768E-2
1.789721000E0,-2.167577460E-2,6.843800470E-2,2.747840524E-2
1.799702000E0,-4.595692232E-3,9.871289564E-2,5.729686618E-3
1.809683000E0,2.250564069E-2,1.098331304E-1,3.959792912E-2
1.819663000E0,4.692595214E-2,8.757435182E-2,5.316288471E-2
1.829644000E0,5.100679703E-2,6.047871994E-2,4.274665475E-2
1.839625000E0,3.051530287E-2,3.419661848E-2,-7.710723281E-2
1.849606000E0,7.261145487E-3,1.551399702E-2,-1.786084646E-1
1.859587000E0,1.214985631E-2,9.056149330E-3,-1.970657855E-1
1.869568000E0,2.918031044E-2,-2.036311124E-2,-9.184923291E-2
1.879549000E0,3.003663518E-2,-8.201651853E-3,4.227244556E-2
1.889530000E0,3.254998773E-3,-8.421269618E-3,1.892527360E-1
1.899511000E0,-3.870652109E-2,-1.082063802E-3,2.488703620E-1
1.909492000E0,-7.729704805E-2,2.586113848E-4,2.210224128E-1
1.919473000E0,-8.895836949E-2,6.186810974E-3,1.685781509E-1
1.929453000E0,-9.684414379E-2,2.626788542E-3,9.002431691E-2
1.939434000E0,-9.346211426E-2,8.223341368E-3,3.631647170E-2
1.949415000E0,-4.399167314E-2,1.680032965E-2,-1.672479093E-2
1.959396542E0,2.184665948E-4,-1.064467337E-3,-3.857758999E-2
1.969377542E0,5.915745020E-2,-2.635767672E-2,-3.460733056E-2
1.979358542E0,1.078784975E-1,-4.235350259E-2,-3.674214900E-2
1.989339542E0,1.330924223E-1,-4.554750759E-2,-9.461964369E-3
1.999320542E0,1.231202153E-1,-5.009881580E-2,3.868225515E-2
2.009301542E0,9.014659680E-2,-3.058521364E-2,7.093608141E-2
2.019282542E0,5.143254742E-2,-1.707589796E-2,1.001037472E-1
2.029263542E0,7.334308773E-3,-9.166405890E-3,1.159140337E-1
2.039244542E0,-2.851409331E-2,1.044780493E-2,1.036986154E-1
2.049225542E0,-4.385375194E-2,1.200963277E-2,9.085169792E-2
2.059205542E0,-4.383211724E-2,2.076227507E-2,4.695197225E-2
2.069186542E0,-3.041962780E-2,2.729927944E-2,3.447167516E-2
2.079167542E0,-1.713387676E-2,2.070228629E-2,4.615499675E-2
2.089148542E0,-3.722264394E-3,2.786176331E-2,5.574150681E-2
2.099129542E0,2.959400095E-2,-3.880449850E-3,4.062236130E-2
2.109110542E0,4.409780011E-2,-6.389161181E-3,1.686103106E-2
2.119091542E0,3.663697220E-2,4.035419337E-3,-3.454944313E-2
2.129072542E0,1.030323252E-2,-1.956222542E-3,-5.238345087E-2
2.139053542E0,-4.889807180E-3,8.428596910E-3,-4.447450697E-2
2.149034542E0,-1.164399907E-2,2.330334708E-2,-9.787654281E-3
2.159015542E0,-2.156592004E-2,3.398335956E-2,3.759818137E-2
2.168995542E0,-3.814431131E-2,3.077893920E-2,9.239770174E-2
2.178976542E0,-4.517010637E-2,2.875836074E-2,1.146071810E-1
2.188957542E0,-5.068191111E-2,3.390235735E-2,1.162297833E-1
2.198938542E0,-6.856532782E-2,2.435644889E-2,9.696262300E-2
2.208919542E0,-6.875156164E-2,3.133590477E-2,9.452024102E-2
2.218900542E0,-6.639769189E-2,3.750002123E-2,5.726412177E-2
2.228881542E0,-4.162515879E-2,2.164990067E-2,5.388326168E-2
2.238862542E0,-4.146699160E-3,1.038944241E-2,3.746544957E-2
2.248843542E0,2.069358855E-2,2.004279345E-3,3.972247481E-2
2.258824542E0,4.037809387E-2,-3.569706883E-3,4.507618546E-2
2.268805542E0,4.113238469E-2,-5.129214115E-3,5.059361815E-2
2.278786542E0,4.237901106E-2,-3.118393198E-3,2.769942999E-2
2.288767542E0,4.027108982E-2,6.539854892E-3,2.113534570E-2
2.298747542E0,3.752406791E-2,1.165348252E-2,6.876910329E-3
2.308728542E0,3.289921269E-2,1.632073006E-2,1.318488657E-2
2.318709542E0,2.915465578E-2,2.557707343E-2,2.394317865E-2
2.328690542E0,8.899608403E-3,2.871799668E-2,6.511225462E-2
2.338671542E0,9.261039421E-3,3.305491308E-2,7.378250599E-2
2.348652542E0,7.734112144E-3,2.129362252E-2,7.926193178E-2
2.358633542E0,6.301982850E-3,2.008821901E-2,6.309087217E-2
2.368614542E0,1.319497302E-2,-2.064304668E-3,4.688882232E-2
2.378595542E0,2.731943406E-2,-4.043093808E-3,3.332094312E-2
2.388576542E0,4.203665659E-2,-1.204162801E-2,3.452430010E-2
2.398557542E0,4.818346895E-2,-2.843327383E-2,2.446884334E-2
2.408538542E0,2.703957170E-2,-2.693269556E-2,2.967052639E-2
2.418518542E0,9.962339848E-3,-2.301480526E-2,3.292801023E-2
2.428499542E0,3.202812374E-4,-1.746800859E-2,3.108379841E-2
2.438480542E0,-3.222882941E-2,-1.220297461E-2,3.927340865E-2
2.448461542E0,-3.574030168E-2,-4.281605389E-3,3.563819468E-2
2.458442542E0,-3.594802402E-2,-7.838832121E-3,2.916064918E-2
2.468423542E0,-2.600731887E-2,-1.255126767E-2,4.545274615E-2
2.478404542E0,-2.688330486E-2,3.707865626E-4,4.843833447E-2
2.488385542E0,-2.052160732E-2,1.125007946E-2,5.293133497E-2
2.498366542E0,-2.141550042E-2,2.007553786E-2,3.584226251E-2
2.508347542E0,-1.281380765E-2,1.848253705E-2,1.599681258E-2
2.518328542E0,-9.360515177E-3,7.398226149E-3,1.927651584E-2
2.528309542E0,-1.159765989E-2,3.534221593E-3,2.742636502E-2
2.538289542E0,-4.432481825E-3,-1.645782899E-2,3.943011403E-2
2.548270542E0,-1.437245607E-2,-8.355908711E-3,5.639288664E-2
2.558251542E0,-5.637081340E-3,-6.561818495E-3,9.402322769E-2
2.568232542E0,-1.398485877E-2,2.013251167E-3,1.301888412E-1
2.578213542E0,-2.267221324E-2,2.576416606E-2,1.264507163E-1
2.588194542E0,-2.073093764E-2,3.786137916E-2,6.942691505E-2
2.598175542E0,-2.984126508E-3,4.802731175E-2,1.955308914E-2
2.608156542E0,1.869522952E-2,4.763198515E-2,2.988278031E-2
2.618137542E0,3.978891380E-2,5.888102308E-2,6.729151189E-2
2.628118542E0,5.720820777E-2,4.266123058E-2,9.790870249E-2
