"Time (ms)","Recording (a.u.)"
5.291867116E0,8.247545362E-2
5.312701239E0,8.051484823E-2
5.333535361E0,7.841216773E-2
5.354369484E0,7.518459857E-2
5.375203606E0,7.041474432E-2
5.396037729E0,6.647416204E-2
5.416871851E0,6.480038911E-2
5.437705974E0,6.330297887E-2
5.458540096E0,5.562060326E-2
5.479374219E0,4.161063582E-2
5.500208341E0,2.937025763E-2
5.521042464E0,2.271868289E-2
5.541876586E0,2.303243056E-2
5.562710709E0,2.733862400E-2
5.583544831E0,3.210784495E-2
5.604378954E0,3.845943511E-2
5.625213076E0,4.424206167E-2
5.646047199E0,4.981493950E-2
5.666881321E0,5.390037224E-2
5.687715444E0,5.235210434E-2
5.708549566E0,4.782934487E-2
5.729383689E0,4.297098517E-2
5.750217811E0,4.046785086E-2
5.771051934E0,4.126233980E-2
5.791886056E0,4.049981385E-2
5.812720179E0,3.692095727E-2
5.833554301E0,3.065283597E-2
5.854388424E0,1.933353022E-2
5.875222546E0,4.616216756E-3
5.896056669E0,-8.245402947E-3
5.916890791E0,-1.560130250E-2
5.937724914E0,-1.896828786E-2
5.958559036E0,-2.184095606E-2
5.979393159E0,-2.456770465E-2
6.000227281E0,-2.851721644E-2
6.021061404E0,-3.536027670E-2
6.041895526E0,-4.373152554E-2
6.062729649E0,-4.922832549E-2
6.083563771E0,-4.696115851E-2
6.104397894E0,-4.046241939E-2
6.125232016E0,-3.366528824E-2
6.146066139E0,-2.628639713E-2
6.166900261E0,-2.028829418E-2
6.187734384E0,-1.768867671E-2
6.208568506E0,-2.075595967E-2
6.229402629E0,-2.703770995E-2
6.250236751E0,-3.206993639E-2
6.271070874E0,-3.872352093E-2
6.291904996E0,-4.686988145E-2
6.312739119E0,-5.027748272E-2
6.333573241E0,-4.809115827E-2
6.354407364E0,-4.379471764E-2
6.375241486E0,-3.979347274E-2
6.396075609E0,-3.485924378E-2
6.416909731E0,-2.816815674E-2
6.437743854E0,-2.187828533E-2
6.458577976E0,-1.323380787E-2
6.479412099E0,-7.778205909E-4
6.500246221E0,1.173831895E-2
6.521080344E0,2.281702310E-2
6.541914466E0,2.970431373E-2
6.562748589E0,3.170075640E-2
6.583582711E0,3.051474318E-2
6.604416834E0,2.859563753E-2
6.625250956E0,3.015283309E-2
6.646085079E0,3.254758567E-2
6.666919201E0,3.289681673E-2
6.687753324E0,3.534933925E-2
6.708587446E0,4.150914401E-2
6.729421569E0,4.739518464E-2
6.750255692E0,4.935000837E-2
6.771089814E0,4.809480160E-2
6.791923937E0,4.662911221E-2
6.812758059E0,4.761386663E-2
6.833592182E0,5.291195214E-2
6.854426304E0,5.977745727E-2
6.875260427E0,6.544813514E-2
6.896094549E0,6.847106665E-2
6.916928672E0,6.739753485E-2
6.937762794E0,6.606195122E-2
6.958596917E0,6.594106555E-2
6.979431039E0,6.670519710E-2
7.000265162E0,6.820707023E-2
7.021099284E0,6.837245077E-2
7.041933407E0,6.854771823E-2
7.062767529E0,6.916768104E-2
7.083601652E0,6.992004812E-2
7.104435774E0,7.000955939E-2
7.125269897E0,6.798662245E-2
7.146104019E0,6.352592260E-2
7.166938142E0,5.764528364E-2
7.187772264E0,5.362553895E-2
7.208606387E0,5.105611309E-2
7.229440509E0,4.884385318E-2
7.250274632E0,4.713886976E-2
7.271108754E0,4.646945745E-2
7.291942877E0,4.992469773E-2
7.312776999E0,5.518920720E-2
7.333611122E0,5.631303042E-2
7.354445244E0,4.912441969E-2
7.375279367E0,3.486032039E-2
7.396113489E0,1.862432621E-2
7.416947612E0,3.947926685E-3
7.437781734E0,-5.073326174E-3
7.458615857E0,-8.824912831E-3
7.479449979E0,-9.710473940E-3
7.500284102E0,-9.063621983E-3
7.521118224E0,-9.939994663E-3
7.541952347E0,-1.320881955E-2
7.562786469E0,-1.698270813E-2
7.583620592E0,-1.750926115E-2
7.604454714E0,-1.436598506E-2
7.625288837E0,-1.042295154E-2
7.646122959E0,-4.847753793E-3
7.666957082E0,2.099874429E-3
7.687791204E0,7.463434245E-3
7.708625327E0,8.714292198E-3
7.729459449E0,4.734991118E-3
7.750293572E0,-2.000553068E-3
7.771127694E0,-8.163158782E-3
7.791961817E0,-1.061555836E-2
7.812795939E0,-8.627705276E-3
7.833630062E0,-5.893022753E-3
7.854464184E0,-1.224511885E-3
7.875298307E0,6.726925261E-3
