"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.835574250E0,6.062393188E-2,-1.570234680E-1,9.818681946E0
2.855532250E0,5.119354248E-2,-1.610650635E-1,9.821825409E0
2.875490250E0,6.197113037E-2,-1.631607056E-1,9.823322296E0
2.895448250E0,5.703140259E-2,-1.616638184E-1,9.825867004E0
2.915406250E0,6.107299805E-2,-1.487905884E-1,9.824819183E0
2.935363250E0,5.628295898E-2,-1.556762695E-1,9.808503113E0
2.955321250E0,5.628295898E-2,-1.642085266E-1,9.811646576E0
2.975279250E0,5.777984619E-2,-1.625619507E-1,9.829010468E0
2.995237250E0,6.077362061E-2,-1.631607056E-1,9.816586304E0
3.015195250E0,5.777984619E-2,-1.654060364E-1,9.821226654E0
3.035153250E0,6.691085815E-2,-1.594184875E-1,9.813742218E0
3.055111250E0,5.987548828E-2,-1.507365417E-1,9.825867004E0
3.075069250E0,5.119354248E-2,-1.645079041E-1,9.821226654E0
3.095027250E0,5.763015747E-2,-1.546284485E-1,9.812095642E0
3.114985250E0,5.553451538E-2,-1.534309387E-1,9.830956421E0
3.134943250E0,5.568420410E-2,-1.672023010E-1,9.815538483E0
3.154901250E0,6.137237549E-2,-1.601669312E-1,9.822274475E0
3.174859250E0,5.313949585E-2,-1.570234680E-1,9.827513580E0
3.194817250E0,5.748046875E-2,-1.496887207E-1,9.828860779E0
3.214775250E0,6.960525513E-2,-1.666035461E-1,9.828860779E0
3.234733250E0,5.628295898E-2,-1.610650635E-1,9.820178833E0
3.254691250E0,5.852828979E-2,-1.594184875E-1,9.818382568E0
3.274649250E0,5.448669434E-2,-1.616638184E-1,9.823471985E0
3.294607250E0,6.301895142E-2,-1.484912109E-1,9.835746460E0
3.314565250E0,6.167175293E-2,-1.558259583E-1,9.826166382E0
3.334523250E0,6.197113037E-2,-1.544787598E-1,9.822124786E0
3.354481250E0,6.017486572E-2,-1.481918335E-1,9.819280701E0
3.374439250E0,6.286926270E-2,-1.613644409E-1,9.814490662E0
3.394397250E0,5.343887329E-2,-1.642085266E-1,9.823172607E0
3.414355250E0,5.867797852E-2,-1.492396545E-1,9.824220428E0
3.434313250E0,5.748046875E-2,-1.615141296E-1,9.826615448E0
3.454271250E0,5.792953491E-2,-1.565744019E-1,9.833950195E0
3.474229250E0,5.972579956E-2,-1.505868530E-1,9.814041595E0
3.494187250E0,5.448669434E-2,-1.585203552E-1,9.822723541E0
3.514145250E0,6.316864014E-2,-1.589694214E-1,9.819879456E0
3.534103250E0,5.942642212E-2,-1.607656860E-1,9.826465759E0
3.554061250E0,5.553451538E-2,-1.531315613E-1,9.817334747E0
3.574019250E0,6.691085815E-2,-1.595681763E-1,9.818981323E0
3.593977250E0,5.852828979E-2,-1.549278259E-1,9.820328522E0
3.613935250E0,5.942642212E-2,-1.573228455E-1,9.822723541E0
3.633893250E0,5.763015747E-2,-1.582209778E-1,9.821376343E0
3.653851250E0,5.733078003E-2,-1.529818726E-1,9.819131012E0
3.673809250E0,6.586303711E-2,-1.588197327E-1,9.822873230E0
3.693767250E0,5.388793945E-2,-1.618135071E-1,9.808353424E0
3.713725250E0,5.792953491E-2,-1.460961914E-1,9.823621674E0
3.733683250E0,6.406677246E-2,-1.597178650E-1,9.814041595E0
3.753641250E0,6.167175293E-2,-1.552272034E-1,9.817634125E0
3.773599250E0,6.721023560E-2,-1.676513672E-1,9.815688171E0
3.793556250E0,6.421646118E-2,-1.543290710E-1,9.815837860E0
3.813514250E0,6.107299805E-2,-1.549278259E-1,9.818232880E0
3.833472250E0,4.849914551E-2,-1.525328064E-1,9.824519806E0
3.853430250E0,6.077362061E-2,-1.655557251E-1,9.824220428E0
3.873388250E0,7.155120850E-2,-1.483415222E-1,9.823022919E0
3.893346250E0,5.508544922E-2,-1.704954529E-1,9.829459534E0
3.913304250E0,5.553451538E-2,-1.595681763E-1,9.812844086E0
3.933262250E0,5.358856201E-2,-1.573228455E-1,9.826166382E0
3.953220250E0,5.703140259E-2,-1.519340515E-1,9.828411713E0
3.973178250E0,6.316864014E-2,-1.585203552E-1,9.818083191E0
3.993136250E0,6.092330933E-2,-1.565744019E-1,9.828411713E0
4.013094250E0,6.481521606E-2,-1.610650635E-1,9.821526031E0
4.033052250E0,5.882766724E-2,-1.564247131E-1,9.824819183E0
4.053010250E0,5.119354248E-2,-1.517843628E-1,9.836195526E0
4.072968250E0,5.553451538E-2,-1.555265808E-1,9.822124786E0
4.092926250E0,6.691085815E-2,-1.625619507E-1,9.824370117E0
4.112884250E0,6.780899048E-2,-1.535806274E-1,9.820029144E0
4.132842250E0,5.553451538E-2,-1.639091492E-1,9.819131012E0
4.152800250E0,6.092330933E-2,-1.552272034E-1,9.810598755E0
4.172758250E0,6.167175293E-2,-1.489402771E-1,9.817035370E0
4.192716250E0,6.256988525E-2,-1.532812500E-1,9.822424164E0
4.212674250E0,5.538482666E-2,-1.531315613E-1,9.829010468E0
4.232632250E0,7.140151978E-2,-1.519340515E-1,9.819430389E0
4.252590042E0,6.990463257E-2,-1.643582153E-1,9.826016693E0
4.272548042E0,6.271957397E-2,-1.595681763E-1,9.824519806E0
4.292506042E0,5.792953491E-2,-1.607656860E-1,9.823921051E0
4.312464042E0,5.763015747E-2,-1.651066589E-1,9.831555176E0
4.332422042E0,5.852828979E-2,-1.585203552E-1,9.821226654E0
4.352380042E0,5.703140259E-2,-1.618135071E-1,9.811945953E0
4.372338042E0,6.182144165E-2,-1.615141296E-1,9.816885681E0
4.392296042E0,5.568420410E-2,-1.672023010E-1,9.820178833E0
4.412254042E0,5.867797852E-2,-1.606159973E-1,9.828262024E0
4.432212042E0,5.388793945E-2,-1.636097717E-1,9.822274475E0
4.452170042E0,6.152206421E-2,-1.537303162E-1,9.829459534E0
4.472128042E0,5.688171387E-2,-1.592687988E-1,9.817035370E0
4.492086042E0,5.897735596E-2,-1.595681763E-1,9.829459534E0
4.512044042E0,5.239105225E-2,-1.504371643E-1,9.822873230E0
4.532002042E0,6.107299805E-2,-1.651066589E-1,9.816885681E0
4.551960042E0,6.331832886E-2,-1.595681763E-1,9.820927277E0
4.571918042E0,6.316864014E-2,-1.565744019E-1,9.822274475E0
4.591876042E0,5.807922363E-2,-1.544787598E-1,9.822723541E0
4.611834042E0,5.852828979E-2,-1.529818726E-1,9.821975098E0
4.631792042E0,5.313949585E-2,-1.507365417E-1,9.832303619E0
4.651750042E0,6.077362061E-2,-1.571731567E-1,9.812245331E0
4.671708042E0,6.077362061E-2,-1.598675537E-1,9.825118561E0
4.691666042E0,5.568420410E-2,-1.619631958E-1,9.821675720E0
4.711624042E0,6.122268677E-2,-1.603166199E-1,9.823621674E0
4.731582042E0,5.074447632E-2,-1.546284485E-1,9.822274475E0
4.751540042E0,7.050338745E-2,-1.553768921E-1,9.822573853E0
4.771498042E0,5.388793945E-2,-1.493893433E-1,9.811496887E0
4.791456042E0,6.466552734E-2,-1.666035461E-1,9.820927277E0
4.811414042E0,5.583389282E-2,-1.520837402E-1,9.820927277E0
4.831372042E0,6.391708374E-2,-1.520837402E-1,9.814490662E0
4.851331042E0,5.733078003E-2,-1.490899658E-1,9.822723541E0
4.871289042E0,5.688171387E-2,-1.585203552E-1,9.831405487E0
4.891247042E0,5.957611084E-2,-1.630110168E-1,9.821825409E0
4.911205042E0,6.212081909E-2,-1.576222229E-1,9.820029144E0
4.931163042E0,5.867797852E-2,-1.568737793E-1,9.823771362E0
4.951121042E0,5.882766724E-2,-1.499880981E-1,9.816885681E0
4.971079042E0,5.718109131E-2,-1.517843628E-1,9.813293152E0
4.991037042E0,6.526428223E-2,-1.664538574E-1,9.809850311E0
5.010995042E0,6.152206421E-2,-1.561253357E-1,9.833800507E0
5.030953042E0,6.122268677E-2,-1.591191101E-1,9.818831635E0
5.050911042E0,4.595443726E-2,-1.556762695E-1,9.818382568E0
5.070869042E0,6.391708374E-2,-1.645079041E-1,9.817035370E0
5.090827042E0,5.972579956E-2,-1.532812500E-1,9.820328522E0
5.110785042E0,6.122268677E-2,-1.498384094E-1,9.815089417E0
5.130743042E0,6.301895142E-2,-1.525328064E-1,9.818083191E0
5.150701042E0,5.822891235E-2,-1.571731567E-1,9.830806732E0
5.170659042E0,6.421646118E-2,-1.645079041E-1,9.823022919E0
5.190617042E0,6.032455444E-2,-1.628613281E-1,9.819729767E0
5.210575042E0,6.631210327E-2,-1.504371643E-1,9.822274475E0
5.230533042E0,6.212081909E-2,-1.531315613E-1,9.824070740E0
5.250490750E0,5.882766724E-2,-1.574725342E-1,9.816286926E0
5.270448750E0,5.852828979E-2,-1.499880981E-1,9.826465759E0
5.290406750E0,6.256988525E-2,-1.637594604E-1,9.827214203E0
5.310364750E0,5.688171387E-2,-1.610650635E-1,9.826166382E0
5.330322750E0,6.436614990E-2,-1.586700439E-1,9.829309845E0
5.350280750E0,5.777984619E-2,-1.570234680E-1,9.829160156E0
5.370238750E0,5.463638306E-2,-1.481918335E-1,9.813442841E0
5.390196750E0,5.313949585E-2,-1.517843628E-1,9.823322296E0
5.410155750E0,5.882766724E-2,-1.639091492E-1,9.828860779E0
5.430113750E0,5.897735596E-2,-1.583706665E-1,9.822723541E0
5.450071750E0,5.852828979E-2,-1.672023010E-1,9.821376343E0
5.470029750E0,5.748046875E-2,-1.571731567E-1,9.825717316E0
5.489987750E0,6.361770630E-2,-1.516346741E-1,9.819430389E0
5.509945750E0,6.361770630E-2,-1.597178650E-1,9.815837860E0
5.529903750E0,5.463638306E-2,-1.528321838E-1,9.821825409E0
5.549861750E0,6.197113037E-2,-1.558259583E-1,9.818232880E0
5.569819750E0,6.062393188E-2,-1.574725342E-1,9.822424164E0
5.589777750E0,5.224136353E-2,-1.624122620E-1,9.821975098E0
5.609735750E0,5.927673340E-2,-1.652563477E-1,9.824819183E0
5.629693750E0,5.777984619E-2,-1.573228455E-1,9.807006226E0
5.649651750E0,5.792953491E-2,-1.604663086E-1,9.826016693E0
5.669609750E0,6.256988525E-2,-1.588197327E-1,9.838141479E0
5.689567750E0,6.376739502E-2,-1.538800049E-1,9.809550934E0
5.709525750E0,5.448669434E-2,-1.580712891E-1,9.820328522E0
5.729483750E0,5.957611084E-2,-1.481918335E-1,9.822573853E0
5.749441750E0,6.885681152E-2,-1.576222229E-1,9.807155914E0
5.769399750E0,6.840774536E-2,-1.637594604E-1,9.817035370E0
5.789358750E0,5.688171387E-2,-1.544787598E-1,9.830357666E0
5.809316750E0,6.391708374E-2,-1.616638184E-1,9.830806732E0
5.829274750E0,6.735992432E-2,-1.507365417E-1,9.823471985E0
5.849232750E0,5.777984619E-2,-1.621128845E-1,9.824370117E0
5.869190750E0,5.703140259E-2,-1.654060364E-1,9.817783813E0
5.889148750E0,5.972579956E-2,-1.609153748E-1,9.826615448E0
